cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
01188,Aer Arann,IRL,RE,REA,AER ARANN,Ireland,Y
01189,Aero-Rent,MEX,Z9,REN,AERORENT,Mexico,N
01190,Australian Maritime Safety Authority,AUS,Z9,RES,RESCUE,Australia,N
01191,Air Austral,FRA,UU,REU,REUNION,France,Y
01192,Aero-Rey,MEX,Z9,REY,AEROREY,Mexico,N
01193,Aero Africa,SWZ,Z9,RFC,AERO AFRICA,Swaziland,N
01194,Aerotransportes Rafilher,MEX,Z9,RFD,RAFHILER,Mexico,N
01195,Argo,DOM,Z9,RGO,ARGOS,Dominican Republic,N
01196,Airbourne School of Flying,GBR,Z9,RGT,AIRGOAT,United Kingdom,N
01197,Air Archipels,FRA,Z9,RHL,ARCHIPELS,France,N
01198,Aviation Ministry of the Interior of the Russian Federation,Z99,Z9,RIF,INTERMIN AVIA,Russian Federation,N
01199,Aeris Gestion,ESP,Z9,RIS,AERIS,Spain,N
01200,Asian Spirit,PHL,6K,RIT,ASIAN SPIRIT,Philippines,Y
01201,Aeroservicios Jet,MEX,Z9,RJS,ASERJET,Mexico,N
01202,Air Afrique,Z99,RK,RKA,AIRAFRIC,Ivory Coast,Y
01203,Airlinair,FRA,A5,RLA,AIRLINAIR,France,Y
01204,Air Nelson,NZL,Z9,RLK,I999,New Zealand,N
01205,Air Leone,SLE,Z9,RLL,AEROLEONE,Sierra Leone,N
01206,Aero Lanka,LKA,QL,RLN,AERO LANKA,Sri Lanka,Y
01207,Air Alize,FRA,Z9,RLZ,ALIZE,France,N
01208,Air Amder,MRT,Z9,RMD,AIR AMDER,Mauritania,N
01209,Armenian Airlines,ARM,Z9,RME,ARMENIAN,Armenia,N
01210,Armenian International Airways,ARM,MV,RML,I999,Armenia,N
01211,Arm-Aero,ARM,Z9,RMO,ARM-AERO,Armenia,N
01212,Air Max,BGR,Z9,RMX,AEROMAX,Bulgaria,N
01213,Air Salone,SLE,20,RNE,AIR SALONE,Sierra Leone,Y
01214,Aeronem Air Cargo,ECU,Z9,RNM,AEROMNEM,Ecuador,N
01215,Air Cargo Masters,USA,Z9,RNR,RUNNER,United States,N
01216,Armavia,ARM,U8,RNV,ARMAVIA,Armenia,Y
01217,Aeroeste,BOL,Z9,ROE,ESTE-BOLIVIA,Bolivia,N
01218,Aero Gen,MEX,Z9,ROH,AEROGEN,Mexico,N
01219,Avior Airlines,VEN,Z9,ROI,AVIOR,Venezuela,N
01220,Aeroel Airways,ISR,Z9,ROL,AEROEL,Israel,N
01221,Aeromar,DOM,BQ,ROM,BRAVO QUEBEC,Dominican Republic,N
01222,Aeroitalia,ITA,Z9,ROO,AEROITALIA,Italy,N
01223,Aerodan,MEX,Z9,ROD,AERODAN,Mexico,N
01224,AeroRep,COL,P5,RPB,AEROREPUBLICA,Colombia,Y
01225,Aerolineas Del Pacifico,ECU,Z9,RPC,AEROPACSA,Ecuador,N
01226,Aero Roca,MEX,Z9,RRC,AEROROCA,Mexico,N
01227,Aerotransportes Internacionales De Torreon,MEX,Z9,RRE,AERO TORREON,Mexico,N
01228,Acvila Air-Romanian Carrier,ROU,Z9,RRM,AIR ROMANIA,Romania,N
01229,Aerolineas Ejecutivas Tarascas,MEX,Z9,RSC,TARASCAS,Mexico,N
01230,Aero-Service,Z99,BF,RSR,CONGOSERV,Republic of the Congo,Y
01231,Aerosur,BOL,5L,RSU,AEROSUR,Bolivia,Y
01232,Aeronorte,PRT,Z9,RTE,LUZAVIA,Portugal,Y
01233,Artis,FRA,Z9,RTH,ARTHELICO,France,N
01234,Arhabaev Tourism Airlines,KAZ,Z9,RTO,ARTOAIR,Kazakhstan,N
01235,Air Turquoise,FRA,Z9,RTQ,TURQUOISE,France,N
01236,Aerotucan,MEX,Z9,RTU,AEROTUCAN,Mexico,N
01237,Air Anastasia,UKR,Z9,RUD,ANASTASIA,Ukraine,N
01238,Air Rum,SLE,Z9,RUM,AIR RUM,Sierra Leone,N
01239,ACT Havayollari,TUR,Z9,RUN,CARGO TURK,Turkey,N
01240,Air VIP,PRT,Z9,RVP,AEROVIP,Portugal,N
01241,Aircompany Veteran,ARM,Z9,RVT,AIR-VET,Armenia,N
01242,Alliance Express Rwanda,RWA,Z9,RWB,I999,Rwanda,N
01243,Arrow Ecuador Arrowec,ECU,Z9,RWC,ARROWEC,Ecuador,N
01244,Aerogroup 98 Limited,GBR,Z9,RWY,TYNWALD,United Kingdom,N
01245,Aeroxtra,MEX,Z9,RXT,AERO-EXTRA,Mexico,N
01246,Express Air Charter,CAN,Z9,RXX,REX AIR,Canada,N
01247,Air Whitsunday,AUS,Z9,RWS,I999,Australia,N
01248,Aero Zambia,ZMB,Z9,RZL,AERO ZAMBIA,Zambia,N
01249,Aero Zano,MEX,Z9,RZN,ZANO,Mexico,N
01250,Anoka Air Charter,USA,Z9,RZZ,RED ZONE,United States,N
01251,Aerosaab,MEX,Z9,SBH,AEROSAAB,Mexico,N
01252,Associated Aviation,NGA,Z9,SCD,ASSOCIATED,Nigeria,N
01253,American Jet International,USA,Z9,SCM,SCREAMER,United States,N
